UPC,Item #,Qty,Unit Retail,Seller Category,Category,Item Description,Condition,Packaging,Manufacturer,Image URL
6.48846E+11,2560209,2,119.99,POWER TOOLS,EQUIPMENT_AND_TOOLS,CM WET/DRY 12GAL 6HP,NEW,Mixed,EMERSON ELECTRIC CO,https://images.aceservices.com/25/60/2560209_A.eps_High.jpg
8.85911E+11,DW16S2-19Gal,12,18.99,,MIXED_LOTS,Dewalt staples,NEW,Mixed,,https://images.aceservices.com/ER/RO/ERROR_A.eps_High.jpg
82901125358,7131451,8,26.99,LAWN - GARDEN - FARM SUPPLIES,MIXED_HOME_AND_GARDEN,TRASH CAN 32GAL BLK ACE,NEW,Mixed,RUBBERMAID INC,https://images.aceservices.com/71/31/7131451_A.eps_High.jpg
7.58598E+11,1004284,10,11.99,PAINT AND PAINT SUPPLIES,BUILDING_AND_HARDWARE,BRSH APLICTR CHSELD 18MM,NEW,Mixed,PROFORM TECHNOLOGIES INC,https://images.aceservices.com/10/04/1004284_A.eps_High.jpg
8.10055E+11,6089623,1,49.99,,MIXED_LOTS,Soda Stream,NEW,Mixed,,https://images.aceservices.com/ER/RO/ERROR_A.eps_High.jpg
43156180592,5610787,4,64.99,HARDWARE,BUILDING_AND_HARDWARE,COM ENTRY LEVER ELAN SC,NEW,Mixed,INGERSOLL RAND (SCHLAGE/FALCON),https://images.aceservices.com/56/10/5610787_A.eps_High.jpg
8.85911E+11,2308849,1,249.99,HAND TOOLS AND TOOL ACCESSORIES,EQUIPMENT_AND_TOOLS,MITER SAW STAND,NEW,Mixed,STANLEY/BLACK & DECKER,https://images.aceservices.com/23/08/2308849_A.eps_High.jpg
71691543022,7054392,6,36.99,,MIXED_LOTS,12.2 gal trashcan,NEW,Mixed,,https://images.aceservices.com/ER/RO/ERROR_A.eps_High.jpg
2.0029E+13,1022086,20,9.99,PAINT AND PAINT SUPPLIES,BUILDING_AND_HARDWARE,LIQUID LEAF .75OZ BRTGLD,NEW,Mixed,PLAID ENTERPRISES INC,https://images.aceservices.com/10/22/1022086_A.eps_High.jpg
2.00829E+13,5360771,20,9.99,HARDWARE,BUILDING_AND_HARDWARE,"HOOK ""S"" ZNC .125X1"" ACE",NEW,Mixed,ACE TRADING ATW,https://images.aceservices.com/53/60/5360771_A.eps_High.jpg
43156719686,5005684,4,39.99,HARDWARE,BUILDING_AND_HARDWARE,LATITUDE PSSGE LEVER MB,NEW,Mixed,INGERSOLL RAND (SCHLAGE/FALCON),https://images.aceservices.com/50/05/5005684_A.eps_High.jpg
3.00398E+13,3380607,8,19.99,FLASHLIGHTS - LIGHTING AND SUPPLIES,LIGHTING,BATTERY ALKALINE AA 16PK,NEW,Mixed,ENERGIZER LLC,https://images.aceservices.com/33/80/3380607_A.eps_High.jpg
1.07615E+13,1614627,12,12.99,CLEANING SUPPLIES,HOUSEHOLD_ESSENTIALS,"WINDW SQUEEGEE 2-IN-1 6""",NEW,Mixed,UNGER INDUSTRIAL INC,https://images.aceservices.com/16/14/1614627_A.eps_High.jpg
2.06119E+13,42619,8,11.99,PLUMBING SUPPLIES AND FIXTURES,PLUMBING,"ELBOW 22 PVC/DWV 3""SCH30",NEW,Mixed,CHARLOTTE PIPE & FOUNDRY CO,https://images.aceservices.com/42/61/42619_A.eps_High.jpg
